idx,domain,context,skill,span,time
44,news,Local,"['Reference Consistency', 'Logical Connectivity', 'Modality and Attitude']","[{""start"":0,""end"":9,""text"":""The first"",""labels"":[""need context""]}]",21.999
45,news,Local,"['Idea Development', 'Reference Consistency', 'Modality and Attitude']","[{""start"":0,""end"":10,""text"":""The second"",""labels"":[""need context""]}]",15.302
46,news,Local,"['Information Density', 'Logical Connectivity', 'Modality and Attitude']",,14.312
47,news,Sentence-level,"['Terminology Control', 'Participant Focus', 'Modality and Attitude']",,27.114
48,news,Sentence-level,"['Idea Development', 'Terminology Control', 'Modality and Attitude']",,12.477
49,news,Sentence-level,"['Information Density', 'Participant Focus', 'Modality and Attitude']",,13.443
50,news,Sentence-level,"['Idea Development', 'Participant Focus', 'Modality and Attitude']",,46.353
51,news,Local,"['Reference Consistency', 'Logical Connectivity', 'Modality and Attitude']","[{""start"":23,""end"":27,""text"":""this"",""labels"":[""need context""]}]",30.928
52,news,Local,"['Reference Consistency', 'Modality and Attitude', 'Relational Address']","[{""start"":25,""end"":27,""text"":""WA"",""labels"":[""need context""]}]",30.737
53,news,Sentence-level,"['Reference Consistency', 'Participant Focus', 'Modality and Attitude']",,38.839
54,news,Sentence-level,"['Reference Consistency', 'Logical Connectivity', 'Modality and Attitude']",,23.822
55,news,Sentence-level,"['Information Density', 'Logical Connectivity', 'Modality and Attitude']",,11.909
56,news,Sentence-level,"['Participant Focus', 'Logical Connectivity', 'Modality and Attitude']",,35.759
57,news,Sentence-level,"['Idea Development', 'Terminology Control', 'Modality and Attitude']",,11.726
58,news,Local,"['Reference Consistency', 'Participant Focus', 'Modality and Attitude']",,18.963
59,news,Sentence-level,"['Reference Consistency', 'Participant Focus', 'Modality and Attitude']",,26.778
60,news,Sentence-level,"['Idea Development', 'Participant Focus', 'Modality and Attitude']",,16.501
61,news,Sentence-level,"['Idea Development', 'Participant Focus', 'Modality and Attitude']",,17.696
62,news,Local,"['Reference Consistency', 'Participant Focus', 'Modality and Attitude']","[{""start"":0,""end"":4,""text"":""This"",""labels"":[""need context""]}]",14.302
63,news,Sentence-level,"['Information Density', 'Participant Focus', 'Modality and Attitude']",,12.761
64,news,Sentence-level,"['Participant Focus', 'Logical Connectivity', 'Modality and Attitude']",,17.848
65,news,Sentence-level,"['Information Density', 'Reference Consistency', 'Modality and Attitude']",,21.542
66,news,Sentence-level,"['Logical Connectivity', 'Modality and Attitude', 'Relational Address']",,19.003
67,news,Extended,"['Terminology Control', 'Reference Consistency', 'Modality and Attitude']","[{""start"":10,""end"":14,""text"":""home"",""labels"":[""need context""]}]",35.981
68,news,Sentence-level,"['Idea Development', 'Participant Focus', 'Modality and Attitude']",,60.14
69,news,Sentence-level,"['Information Density', 'Idea Development', 'Modality and Attitude']",,12.201
70,news,Sentence-level,"['Information Density', 'Idea Development', 'Modality and Attitude']",,16.056
71,news,Sentence-level,"['Reference Consistency', 'Participant Focus', 'Modality and Attitude']",,13.863
72,news,Sentence-level,"['Reference Consistency', 'Participant Focus', 'Modality and Attitude']",,25.165
73,news,Sentence-level,"['Terminology Control', 'Participant Focus', 'Modality and Attitude']",,10.265
74,news,Sentence-level,"['Reference Consistency', 'Logical Connectivity', 'Modality and Attitude']",,13.897
75,news,Sentence-level,"['Information Density', 'Terminology Control', 'Modality and Attitude']",,17.903
76,news,Sentence-level,"['Information Density', 'Participant Focus', 'Modality and Attitude']",,23.218
77,news,Sentence-level,"['Idea Development', 'Reference Consistency', 'Modality and Attitude']",,10.337
78,news,Sentence-level,"['Terminology Control', 'Participant Focus', 'Modality and Attitude']",,12.969
79,news,Universal,"['Reference Consistency', 'Participant Focus', 'Terminology Control']","[{""start"":21,""end"":49,""text"":""Disability Rights Washington"",""labels"":[""need context""]}]",17.15
80,social,Sentence-level,"['Style Register', 'Logical Connectivity', 'Modality and Attitude']",,27.326
81,social,Sentence-level,"['Style Register', 'Reference Consistency', 'Relational Address']",,12.344
82,social,Sentence-level,"['Idea Development', 'Terminology Control', 'Modality and Attitude']",,15.576
83,social,Sentence-level,"['Terminology Control', 'Style Register', 'Relational Address']",,14.89
84,social,Sentence-level,"['Idea Development', 'Terminology Control', 'Style Register']",,18.53
85,social,Sentence-level,"['Terminology Control', 'Style Register', 'Relational Address']",,13.94
86,social,Local,"['Style Register', 'Reference Consistency', 'Relational Address']","[{""start"":0,""end"":2,""text"":""It"",""labels"":[""need context""]}]",33.482
87,social,Sentence-level,"['Terminology Control', 'Style Register', 'Reference Consistency']",,20.219
88,social,Local,"['Style Register', 'Reference Consistency', 'Relational Address']","[{""start"":64,""end"":78,""text"":""the connection"",""labels"":[""need context""]}]",14.997
89,social,Local,"['Style Register', 'Reference Consistency', 'Relational Address']","[{""start"":64,""end"":72,""text"":""the two "",""labels"":[""need context""]}]",26.768
90,social,Sentence-level,"['Style Register', 'Reference Consistency', 'Relational Address']",,65.118
91,social,Local,"['Style Register', 'Reference Consistency', 'Relational Address']","[{""start"":0,""end"":8,""text"":""which is"",""labels"":[""need context""]}]",22.138
92,social,Universal,"['Terminology Control', 'Style Register', 'Relational Address']","[{""start"":20,""end"":26,""text"":"" AT&T "",""labels"":[""need context""]}]",9.115
93,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,17.075
94,social,Sentence-level,"['Idea Development', 'Style Register', 'Relational Address']",,12.216
95,social,Universal,"['Terminology Control', 'Logical Connectivity', 'Relational Address']","[{""start"":33,""end"":37,""text"":""AT&T"",""labels"":[""need context""]}]",23.808
96,social,Universal,"['Terminology Control', 'Style Register', 'Relational Address']","[{""start"":4,""end"":8,""text"":""AT&T"",""labels"":[""need context""]}]",19.583
97,social,Universal,"['Terminology Control', 'Style Register', 'Logical Connectivity']","[{""start"":73,""end"":77,""text"":""AT&T"",""labels"":[""need context""]}]",21.152
98,social,Sentence-level,"['Terminology Control', 'Style Register', 'Relational Address']",,12.521
99,social,Global,"['Terminology Control', 'Style Register', 'Relational Address']","[{""start"":37,""end"":41,""text"":""SLAs"",""labels"":[""need context""]}]",55.555
100,social,Local,"['Style Register', 'Reference Consistency', 'Relational Address']","[{""start"":38,""end"":42,""text"":""5 9s"",""labels"":[""need context""]}]",24.618
101,social,Sentence-level,"['Information Density', 'Style Register', 'Relational Address']",,13.659
102,social,Local,"['Style Register', 'Modality and Attitude', 'Relational Address']",,7.657
103,social,Sentence-level,"['Style Register', 'Participant Focus', 'Relational Address']",,5.366
104,social,Sentence-level,"['Style Register', 'Participant Focus', 'Relational Address']",,13.897
105,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,4.484
106,social,Local,"['Style Register', 'Reference Consistency', 'Relational Address']","[{""start"":18,""end"":25,""text"":""do them"",""labels"":[""need context""]}]",17.335
107,social,Local,"['Idea Development', 'Style Register', 'Reference Consistency']","[{""start"":39,""end"":42,""text"":""she"",""labels"":[""need context""]},{""start"":25,""end"":28,""text"":""her"",""labels"":[""need context""]}]",27.753
108,social,Local,"['Style Register', 'Reference Consistency', 'Relational Address']","[{""start"":28,""end"":31,""text"":""her"",""labels"":[""need context""]}]",10.161
109,social,Sentence-level,"['Style Register', 'Logical Connectivity', 'Relational Address']",,11.193
110,social,Sentence-level,"['Style Register', 'Logical Connectivity', 'Relational Address']",,8.723
111,social,Sentence-level,"['Style Register', 'Logical Connectivity', 'Relational Address']",,36.97
112,social,Local,"['Style Register', 'Reference Consistency', 'Relational Address']","[{""start"":39,""end"":49,""text"":""Extraction"",""labels"":[""need context""]}]",13.14
113,social,Local,"['Terminology Control', 'Reference Consistency', 'Relational Address']","[{""start"":51,""end"":54,""text"":""get"",""labels"":[""need context""]}]",24.204
114,social,Local,"['Style Register', 'Reference Consistency', 'Relational Address']","[{""start"":0,""end"":18,""text"":""The results are in"",""labels"":[""need context""]}]",22.241
115,social,Sentence-level,"['Terminology Control', 'Participant Focus', 'Modality and Attitude']",,38.513
116,social,Extended,"['Style Register', 'Reference Consistency', 'Logical Connectivity']","[{""start"":21,""end"":31,""text"":""breton tho"",""labels"":[""need context""]}]",38.347
117,social,Sentence-level,"['Style Register', 'Participant Focus', 'Relational Address']",,11.359
118,social,Sentence-level,"['Idea Development', 'Style Register', 'Relational Address']",,9.652
119,social,Sentence-level,"['Idea Development', 'Style Register', 'Relational Address']",,6.051
120,social,Extended,"['Terminology Control', 'Style Register', 'Relational Address']","[{""start"":0,""end"":11,""text"":""Snarky Wife"",""labels"":[""need context""]}]",20.167
121,social,Universal,"['Terminology Control', 'Style Register', 'Relational Address']","[{""start"":46,""end"":67,""text"":""The Elders of Ireland"",""labels"":[""need context""]}]",31.238
122,social,Sentence-level,"['Idea Development', 'Style Register', 'Relational Address']",,18.538
123,social,Universal,"['Terminology Control', 'Style Register', 'Relational Address']","[{""start"":17,""end"":34,""text"":""Sourdough Starter"",""labels"":[""need context""]}]",13.894
124,social,Local,"['Terminology Control', 'Reference Consistency', 'Participant Focus']",,62.75
125,social,Sentence-level,"['Style Register', 'Reference Consistency', 'Logical Connectivity']",,10.134
126,social,Local,"['Style Register', 'Reference Consistency', 'Relational Address']",,9.332
127,social,Sentence-level,"['Style Register', 'Reference Consistency', 'Relational Address']",,21.227
128,social,Sentence-level,"['Style Register', 'Participant Focus', 'Relational Address']",,12.403
129,social,Sentence-level,"['Terminology Control', 'Style Register', 'Relational Address']",,14.109
130,social,Sentence-level,"['Style Register', 'Participant Focus', 'Relational Address']",,23.978
131,social,Sentence-level,"['Style Register', 'Reference Consistency', 'Relational Address']",,8.474
132,social,Sentence-level,"['Idea Development', 'Reference Consistency', 'Modality and Attitude']",,16.578
133,social,Local,"['Style Register', 'Reference Consistency', 'Relational Address']","[{""start"":48,""end"":59,""text"":""masto-peeps"",""labels"":[""need context""]}]",21.7
134,social,Sentence-level,"['Style Register', 'Reference Consistency', 'Relational Address']",,5.324
135,social,Sentence-level,"['Style Register', 'Reference Consistency', 'Relational Address']",,12.359
136,social,Sentence-level,"['Style Register', 'Logical Connectivity', 'Relational Address']",,14.738
137,social,Local,"['Idea Development', 'Style Register', 'Relational Address']",,13.142
138,social,Sentence-level,"['Style Register', 'Participant Focus', 'Relational Address']",,10.733
139,social,Sentence-level,"['Style Register', 'Participant Focus', 'Relational Address']",,5.702
140,social,Local,"['Style Register', 'Participant Focus', 'Relational Address']",,7.32
141,social,Sentence-level,"['Style Register', 'Participant Focus', 'Relational Address']",,6.947
142,social,Local,"['Style Register', 'Participant Focus', 'Relational Address']",,55.285
143,social,Sentence-level,"['Idea Development', 'Style Register', 'Relational Address']",,9.583
144,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,16.089
145,social,Sentence-level,"['Style Register', 'Participant Focus', 'Relational Address']",,31.545
146,social,Sentence-level,"['Style Register', 'Reference Consistency', 'Relational Address']",,9.475
147,social,Sentence-level,"['Idea Development', 'Style Register', 'Relational Address']",,9.83
148,social,Local,"['Idea Development', 'Style Register', 'Relational Address']",,5.584
149,social,Sentence-level,"['Idea Development', 'Style Register', 'Relational Address']",,11.417
150,social,Sentence-level,"['Style Register', 'Participant Focus', 'Relational Address']",,11.89
151,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,13.844
152,social,Sentence-level,"['Style Register', 'Reference Consistency', 'Relational Address']",,13.693
153,social,Sentence-level,"['Idea Development', 'Style Register', 'Relational Address']",,12.306
154,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,21.103
155,social,Sentence-level,"['Style Register', 'Participant Focus', 'Relational Address']",,5.915
156,social,Sentence-level,"['Style Register', 'Reference Consistency', 'Relational Address']",,6.396
157,social,Sentence-level,"['Terminology Control', 'Style Register', 'Relational Address']",,13.603
158,social,Sentence-level,"['Style Register', 'Reference Consistency', 'Relational Address']",,5.536
159,social,Sentence-level,"['Style Register', 'Reference Consistency', 'Relational Address']",,16.005
160,social,Extended,"['Terminology Control', 'Style Register', 'Relational Address']","[{""start"":39,""end"":51,""text"":""HS trig lmao"",""labels"":[""need context""]}]",20.144
161,social,Universal,"['Terminology Control', 'Style Register', 'Relational Address']","[{""start"":21,""end"":24,""text"":""DMS"",""labels"":[""need context""]}]",13.759
162,social,Local,"['Style Register', 'Reference Consistency', 'Relational Address']","[{""start"":14,""end"":18,""text"":""this"",""labels"":[""need context""]}]",9.372
163,social,Sentence-level,"['Style Register', 'Participant Focus', 'Relational Address']",,16.202
164,social,Sentence-level,"['Idea Development', 'Style Register', 'Relational Address']",,9.826
165,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,4.713
166,social,Sentence-level,"['Style Register', 'Reference Consistency', 'Relational Address']",,11.751
167,social,Sentence-level,"['Idea Development', 'Style Register', 'Relational Address']",,12.814
168,social,Local,"['Style Register', 'Reference Consistency', 'Relational Address']","[{""start"":30,""end"":34,""text"":""that"",""labels"":[""need context""]}]",11.058
169,social,Universal,"['Terminology Control', 'Style Register', 'Relational Address']","[{""start"":10,""end"":21,""text"":""flightaware"",""labels"":[""need context""]}]",12.427
170,social,Sentence-level,"['Style Register', 'Reference Consistency', 'Relational Address']",,7.809
171,social,Sentence-level,"['Style Register', 'Participant Focus', 'Relational Address']",,5.682
172,social,Local,"['Style Register', 'Reference Consistency', 'Participant Focus']","[{""start"":2,""end"":25,""text"":"" the challenges in this"",""labels"":[""need context""]}]",19.153
173,social,Universal,"['Terminology Control', 'Style Register', 'Reference Consistency']",,24.997
174,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,10.189
175,social,Sentence-level,"['Style Register', 'Reference Consistency', 'Relational Address']",,18.744
176,social,Local,"['Idea Development', 'Style Register', 'Relational Address']",,12.716
177,social,Sentence-level,"['Idea Development', 'Style Register', 'Relational Address']",,9.251
178,social,Universal,"['Terminology Control', 'Reference Consistency', 'Modality and Attitude']","[{""start"":0,""end"":3,""text"":""FAA"",""labels"":[""need context""]}]",14.51
179,social,Sentence-level,"['Style Register', 'Reference Consistency', 'Relational Address']",,17.145
180,social,Universal,"['Information Density', 'Terminology Control', 'Style Register']","[{""start"":117,""end"":122,""text"":""N1337"",""labels"":[""need context""]}]",19.824
181,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,7.398
182,social,Local,"['Style Register', 'Participant Focus', 'Relational Address']",,13.35
183,social,Sentence-level,"['Style Register', 'Participant Focus', 'Relational Address']",,7.7
184,social,Sentence-level,"['Style Register', 'Participant Focus', 'Relational Address']",,10.524
185,social,Sentence-level,"['Terminology Control', 'Style Register', 'Relational Address']",,15.592
186,social,Universal,"['Idea Development', 'Terminology Control', 'Style Register']","[{""start"":94,""end"":101,""text"":""youtube"",""labels"":[""need context""]}]",19.609
187,social,Sentence-level,"['Idea Development', 'Style Register', 'Relational Address']",,9.346
188,social,Sentence-level,"['Style Register', 'Participant Focus', 'Relational Address']",,10.576
189,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,6.853
190,social,Sentence-level,"['Style Register', 'Reference Consistency', 'Relational Address']",,10.146
191,social,Sentence-level,"['Style Register', 'Participant Focus', 'Relational Address']",,12.06
192,social,Sentence-level,"['Idea Development', 'Style Register', 'Relational Address']",,12.772
193,social,Sentence-level,"['Style Register', 'Participant Focus', 'Relational Address']",,25.05
194,social,Local,"['Style Register', 'Reference Consistency', 'Relational Address']","[{""start"":14,""end"":20,""text"":""things"",""labels"":[""need context""]}]",17.916
195,social,Sentence-level,"['Terminology Control', 'Style Register', 'Relational Address']",,13.659
196,social,Sentence-level,"['Style Register', 'Participant Focus', 'Relational Address']",,11.928
197,social,Local,"['Style Register', 'Participant Focus', 'Relational Address']",,15.236
198,social,Sentence-level,"['Style Register', 'Reference Consistency', 'Relational Address']",,5.243
199,social,Sentence-level,"['Style Register', 'Logical Connectivity', 'Relational Address']",,16.387
200,social,Sentence-level,"['Style Register', 'Logical Connectivity', 'Relational Address']",,9.885
201,social,Sentence-level,"['Idea Development', 'Style Register', 'Relational Address']",,14.948
202,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,26.118
203,social,Sentence-level,"['Style Register', 'Reference Consistency', 'Relational Address']",,8.891
204,social,Sentence-level,"['Style Register', 'Reference Consistency', 'Relational Address']",,8.376
205,social,Sentence-level,"['Style Register', 'Participant Focus', 'Relational Address']",,6.574
206,social,Local,"['Information Density', 'Style Register', 'Participant Focus']",,47.866
207,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,15.667
208,social,Local,"['Style Register', 'Reference Consistency', 'Relational Address']","[{""start"":3,""end"":6,""text"":""did"",""labels"":[""need context""]}]",8.26
209,social,Sentence-level,"['Style Register', 'Reference Consistency', 'Relational Address']",,19.081
210,social,Sentence-level,"['Style Register', 'Logical Connectivity', 'Relational Address']",,27.337
211,social,Universal,"['Idea Development', 'Terminology Control', 'Style Register']","[{""start"":0,""end"":11,""text"":""FlightAware"",""labels"":[""need context""]}]",17.732
212,social,Local,"['Style Register', 'Reference Consistency', 'Relational Address']","[{""start"":0,""end"":10,""text"":""This stuff"",""labels"":[""need context""]}]",23.525
213,social,Sentence-level,"['Style Register', 'Logical Connectivity', 'Relational Address']",,9.655
214,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,10.301
215,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,13.304
216,social,Sentence-level,"['Style Register', 'Reference Consistency', 'Relational Address']",,42.627
217,social,Local,"['Style Register', 'Reference Consistency', 'Relational Address']","[{""start"":37,""end"":39,""text"":""do"",""labels"":[""need context""]}]",15.646
218,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,9.79
219,social,Local,"['Style Register', 'Reference Consistency', 'Relational Address']","[{""start"":12,""end"":21,""text"":""This one"",""labels"":[""need context""]}]",21.686
220,social,Local,"['Style Register', 'Reference Consistency', 'Modality and Attitude']","[{""start"":0,""end"":4,""text"":""They"",""labels"":[""need context""]}]",33.461
221,social,Sentence-level,"['Style Register', 'Reference Consistency', 'Relational Address']",,8.181
222,social,Sentence-level,"['Style Register', 'Participant Focus', 'Relational Address']",,6.412
223,social,Sentence-level,"['Style Register', 'Participant Focus', 'Relational Address']",,5.664
224,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,4.975
225,social,Extended,"['Terminology Control', 'Style Register', 'Relational Address']","[{""start"":15,""end"":24,""text"":""threading"",""labels"":[""need context""]}]",19.48
226,social,Sentence-level,"['Terminology Control', 'Style Register', 'Relational Address']",,26.074
227,social,Universal,"['Style Register', 'Reference Consistency', 'Relational Address']","[{""start"":13,""end"":21,""text"":""Mason Mi"",""labels"":[""need context""]},{""start"":25,""end"":35,""text"":""Sturgis Mi"",""labels"":[""need context""]}]",18.311
228,social,Extended,"['Style Register', 'Reference Consistency', 'Relational Address']","[{""start"":7,""end"":11,""text"":""Cont"",""labels"":[""need context""]}]",18.431
229,social,Local,"['Idea Development', 'Style Register', 'Reference Consistency']","[{""start"":0,""end"":4,""text"":""This"",""labels"":[""need context""]}]",30.121
230,social,Extended,"['Terminology Control', 'Reference Consistency', 'Modality and Attitude']","[{""start"":7,""end"":11,""text"":""Cont"",""labels"":[""need context""]},{""start"":17,""end"":20,""text"":""VFR"",""labels"":[""need context""]}]",10.884
231,social,Extended,"['Style Register', 'Reference Consistency', 'Relational Address']","[{""start"":15,""end"":23,""text"":""lovelies"",""labels"":[""need context""]}]",16.515
232,social,Local,"['Style Register', 'Reference Consistency', 'Relational Address']","[{""start"":56,""end"":58,""text"":""it"",""labels"":[""need context""]}]",15.023
233,social,Sentence-level,"['Idea Development', 'Terminology Control', 'Style Register']",,21.198
234,social,Sentence-level,"['Style Register', 'Reference Consistency', 'Relational Address']",,8.756
235,social,Universal,"['Terminology Control', 'Style Register', 'Relational Address']","[{""start"":9,""end"":13,""text"":""Cont"",""labels"":[""need context""]},{""start"":19,""end"":30,""text"":""FlightAware"",""labels"":[""need context""]}]",19.326
236,social,Local,"['Style Register', 'Reference Consistency', 'Relational Address']","[{""start"":0,""end"":8,""text"":""Lovelies"",""labels"":[""need context""]},{""start"":20,""end"":28,""text"":""lovelies"",""labels"":[""need context""]}]",9.052
237,social,Sentence-level,"['Style Register', 'Participant Focus', 'Relational Address']",,5.12
238,social,Universal,"['Terminology Control', 'Style Register', 'Relational Address']","[{""start"":17,""end"":23,""text"":""Teagan"",""labels"":[""need context""]}]",20.094
239,social,Local,"['Style Register', 'Reference Consistency', 'Relational Address']","[{""start"":60,""end"":72,""text"":""last landing"",""labels"":[""need context""]}]",21.948
240,social,Local,"['Style Register', 'Reference Consistency', 'Relational Address']",,11.328
241,literary,Local,"['Style Register', 'Participant Focus', 'Relational Address']",,9.111
242,literary,Sentence-level,"['Idea Development', 'Participant Focus', 'Modality and Attitude']",,18.178
243,literary,Sentence-level,"['Idea Development', 'Participant Focus', 'Modality and Attitude']",,14.08
244,literary,Sentence-level,"['Idea Development', 'Reference Consistency', 'Modality and Attitude']",,39.37
245,literary,Sentence-level,"['Idea Development', 'Style Register', 'Modality and Attitude']",,44.103
246,literary,Local,"['Information Density', 'Idea Development', 'Reference Consistency']","[{""start"":31,""end"":40,""text"":""Karascene"",""labels"":[""need context""]},{""start"":55,""end"":62,""text"":""Ignniat"",""labels"":[""need context""]}]",44.784
247,literary,Local,"['Idea Development', 'Reference Consistency', 'Modality and Attitude']","[{""start"":61,""end"":78,""text"":""this same stream,"",""labels"":[""need context""]}]",119.258
248,literary,Sentence-level,"['Reference Consistency', 'Logical Connectivity', 'Modality and Attitude']",,18.522
249,literary,Sentence-level,"['Idea Development', 'Reference Consistency', 'Modality and Attitude']",,12.049
