idx,domain,context,skill,span,time
10,news,Extended,"['Terminology Control', 'Logical Connectivity', 'Modality and Attitude']","[{""start"":184,""end"":187,""text"":""DOJ"",""labels"":[""need context""]}]",56.443
11,news,Universal,"['Terminology Control', 'Logical Connectivity', 'Modality and Attitude']","[{""start"":58,""end"":81,""text"":""DOJ's Criminal Division"",""labels"":[""need context""]}]",25.574
12,news,Local,"['Terminology Control', 'Reference Consistency', 'Modality and Attitude']","[{""start"":16,""end"":18,""text"":""it"",""labels"":[""need context""]}]",60.679
13,news,Sentence-level,"['Idea Development', 'Participant Focus', 'Modality and Attitude']",,17.642
14,news,Sentence-level,"['Idea Development', 'Logical Connectivity', 'Modality and Attitude']",,53.524
15,news,Sentence-level,"['Participant Focus', 'Logical Connectivity', 'Modality and Attitude']",,24.571
16,news,Sentence-level,"['Reference Consistency', 'Participant Focus', 'Modality and Attitude']","[{""start"":5,""end"":7,""text"":""we"",""labels"":[""need context""]}]",55.921
17,news,Universal,"['Idea Development', 'Terminology Control', 'Modality and Attitude']","[{""start"":125,""end"":151,""text"":""Cost of Living legislation"",""labels"":[""need context""]}]",108.27
18,news,Sentence-level,"['Participant Focus', 'Logical Connectivity', 'Modality and Attitude']",,15.682
19,news,Sentence-level,"['Information Density', 'Logical Connectivity', 'Modality and Attitude']",,45.191
20,news,Local,"['Terminology Control', 'Reference Consistency', 'Modality and Attitude']","[{""start"":9,""end"":27,""text"":""Cost of Living Act"",""labels"":[""need context""]}]",36.285
21,news,Sentence-level,"['Information Density', 'Idea Development', 'Modality and Attitude']",,42.769
22,news,Sentence-level,"['Participant Focus', 'Logical Connectivity', 'Modality and Attitude']",,84.653
23,news,Local,"['Idea Development', 'Reference Consistency', 'Modality and Attitude']","[{""start"":0,""end"":22,""text"":""This tapering proposal"",""labels"":[""need context""]}]",26.907
24,news,Local,"['Information Density', 'Reference Consistency', 'Logical Connectivity']","[{""start"":23,""end"":35,""text"":""this scheme "",""labels"":[""need context""]}]",46.977
25,news,Local,"['Idea Development', 'Reference Consistency', 'Modality and Attitude']","[{""start"":0,""end"":2,""text"":""We"",""labels"":[""need context""]}]",24.54
26,news,Sentence-level,"['Information Density', 'Reference Consistency', 'Modality and Attitude']",,20.076
27,news,Local,"['Information Density', 'Reference Consistency', 'Modality and Attitude']","[{""start"":15,""end"":38,""text"":""this consultation paper"",""labels"":[""need context""]}]",39.749
28,news,Sentence-level,"['Information Density', 'Idea Development', 'Modality and Attitude']",,33.465
29,news,Extended,"['Terminology Control', 'Logical Connectivity', 'Modality and Attitude']","[{""start"":116,""end"":143,""text"":""private rented sector (PRS)"",""labels"":[""need context""]}]",28.522
30,news,Universal,"['Terminology Control', 'Reference Consistency', 'Modality and Attitude']","[{""start"":34,""end"":37,""text"":""PRS"",""labels"":[""need context""]}]",31.532
31,news,Local,"['Idea Development', 'Terminology Control', 'Modality and Attitude']","[{""start"":31,""end"":34,""text"":""PRS"",""labels"":[""need context""]}]",25.862
32,news,Local,"['Idea Development', 'Reference Consistency', 'Modality and Attitude']","[{""start"":17,""end"":31,""text"":""these measures"",""labels"":[""need context""]}]",28.932
33,news,Sentence-level,"['Style Register', 'Reference Consistency', 'Relational Address']",,9.814
34,news,Universal,"['Terminology Control', 'Reference Consistency', 'Modality and Attitude']","[{""start"":97,""end"":105,""text"":""Scotsman"",""labels"":[""need context""]},{""start"":0,""end"":11,""text"":""Rishi Sunak"",""labels"":[""need context""]}]",36.117
35,news,Sentence-level,"['Participant Focus', 'Logical Connectivity', 'Modality and Attitude']",,37.278
36,news,Universal,"['Information Density', 'Terminology Control', 'Reference Consistency']","[{""start"":52,""end"":64,""text"":""The Scotsman"",""labels"":[""need context""]},{""start"":140,""end"":155,""text"":""Horizon scandal"",""labels"":[""need context""]}]",45.952
37,news,Sentence-level,"['Information Density', 'Logical Connectivity', 'Modality and Attitude']",,26.568
38,news,Universal,"['Terminology Control', 'Reference Consistency', 'Modality and Attitude']","[{""start"":79,""end"":90,""text"":""Post Office"",""labels"":[""need context""]},{""start"":54,""end"":61,""text"":""Horizon"",""labels"":[""need context""]},{""start"":122,""end"":125,""text"":""MPs"",""labels"":[""need context""]},{""start"":24,""end"":29,""text"":""their"",""labels"":[""need context""]}]",331.978
39,news,Sentence-level,"['Terminology Control', 'Reference Consistency', 'Modality and Attitude']",,84.124
40,news,Universal,"['Terminology Control', 'Reference Consistency', 'Modality and Attitude']","[{""start"":69,""end"":80,""text"":""the scandal"",""labels"":[""need context""]},{""start"":97,""end"":111,""text"":""Downing Street"",""labels"":[""need context""]}]",56.295
41,news,Universal,"['Terminology Control', 'Style Register', 'Relational Address']","[{""start"":80,""end"":88,""text"":""Mr Bates"",""labels"":[""need context""]},{""start"":92,""end"":107,""text"":""The Post Office"",""labels"":[""need context""]}]",41.644
42,news,Sentence-level,"['Information Density', 'Idea Development', 'Modality and Attitude']",,32.241
43,news,Sentence-level,"['Terminology Control', 'Logical Connectivity', 'Modality and Attitude']",,23.834
44,news,Local,"['Reference Consistency', 'Logical Connectivity', 'Modality and Attitude']","[{""start"":0,""end"":9,""text"":""The first"",""labels"":[""need context""]}]",37.594
45,news,Local,"['Style Register', 'Reference Consistency', 'Modality and Attitude']","[{""start"":0,""end"":10,""text"":""The second"",""labels"":[""need context""]}]",47.586
46,news,Sentence-level,"['Terminology Control', 'Logical Connectivity', 'Modality and Attitude']",,43.586
47,news,Sentence-level,"['Terminology Control', 'Participant Focus', 'Modality and Attitude']",,17.686
48,news,Local,"['Terminology Control', 'Reference Consistency', 'Modality and Attitude']","[{""start"":94,""end"":99,""text"":""Sunak"",""labels"":[""need context""]}]",27.561
49,news,Sentence-level,"['Information Density', 'Reference Consistency', 'Modality and Attitude']",,25.437
50,news,Sentence-level,"['Participant Focus', 'Logical Connectivity', 'Modality and Attitude']",,12.926
51,news,Local,"['Reference Consistency', 'Participant Focus', 'Modality and Attitude']","[{""start"":23,""end"":27,""text"":""this"",""labels"":[""need context""]}]",78.256
52,news,Local,"['Terminology Control', 'Reference Consistency', 'Modality and Attitude']","[{""start"":25,""end"":27,""text"":""WA"",""labels"":[""need context""]}]",21.491
53,news,Sentence-level,"['Terminology Control', 'Reference Consistency', 'Modality and Attitude']",,41.863
54,news,Sentence-level,"['Information Density', 'Idea Development', 'Modality and Attitude']",,52.055
55,news,Extended,"['Information Density', 'Reference Consistency', 'Relational Address']","[{""start"":9,""end"":11,""text"":""we"",""labels"":[""need context""]},{""start"":145,""end"":147,""text"":""we"",""labels"":[""need context""]}]",55.916999999999994
56,news,Sentence-level,"['Information Density', 'Logical Connectivity', 'Modality and Attitude']",,27.392
57,news,Local,"['Terminology Control', 'Reference Consistency', 'Modality and Attitude']","[{""start"":0,""end"":10,""text"":""Washington"",""labels"":[""need context""]}]",26.168
58,news,Local,"['Idea Development', 'Reference Consistency', 'Modality and Attitude']","[{""start"":0,""end"":28,""text"":""Some of the only information"",""labels"":[""need context""]}]",41.683
59,news,Sentence-level,"['Reference Consistency', 'Participant Focus', 'Modality and Attitude']",,73.029
60,news,Sentence-level,"['Idea Development', 'Terminology Control', 'Modality and Attitude']",,28.435
61,news,Sentence-level,"['Idea Development', 'Terminology Control', 'Modality and Attitude']",,30.75
62,news,Sentence-level,"['Idea Development', 'Reference Consistency', 'Modality and Attitude']","[{""start"":0,""end"":4,""text"":""This"",""labels"":[""need context""]}]",27.572
63,news,Sentence-level,"['Information Density', 'Idea Development', 'Modality and Attitude']",,36.306
64,news,Sentence-level,"['Information Density', 'Logical Connectivity', 'Modality and Attitude']",,19.764
65,news,Sentence-level,"['Information Density', 'Terminology Control', 'Modality and Attitude']",,33.645
66,news,Sentence-level,"['Terminology Control', 'Style Register', 'Logical Connectivity']",,30.566
67,news,Sentence-level,"['Information Density', 'Reference Consistency', 'Modality and Attitude']","[{""start"":0,""end"":14,""text"":""Closer to home"",""labels"":[""need context""]}]",171.423
68,news,Sentence-level,"['Information Density', 'Participant Focus', 'Modality and Attitude']",,53.444
69,news,Sentence-level,"['Participant Focus', 'Logical Connectivity', 'Modality and Attitude']",,89.356
70,news,Sentence-level,"['Terminology Control', 'Logical Connectivity', 'Modality and Attitude']",,45.214
71,news,Sentence-level,"['Information Density', 'Terminology Control', 'Modality and Attitude']",,32.284
72,news,Sentence-level,"['Information Density', 'Logical Connectivity', 'Modality and Attitude']",,43.12
73,news,Sentence-level,"['Reference Consistency', 'Participant Focus', 'Modality and Attitude']",,35.296
74,news,Sentence-level,"['Information Density', 'Terminology Control', 'Modality and Attitude']",,36.702
75,news,Sentence-level,"['Terminology Control', 'Participant Focus', 'Modality and Attitude']",,17.567
76,news,Local,"['Information Density', 'Reference Consistency', 'Modality and Attitude']","[{""start"":0,""end"":2,""text"":""We"",""labels"":[""need context""]}]",34.0
77,news,Local,"['Idea Development', 'Reference Consistency', 'Modality and Attitude']","[{""start"":25,""end"":27,""text"":""it"",""labels"":[""need context""]}]",19.3
78,news,Universal,"['Information Density', 'Terminology Control', 'Modality and Attitude']","[{""start"":104,""end"":122,""text"":""Beyond These Walls"",""labels"":[""need context""]}]",29.434
79,news,Universal,"['Terminology Control', 'Participant Focus', 'Modality and Attitude']","[{""start"":21,""end"":49,""text"":""Disability Rights Washington"",""labels"":[""need context""]}]",31.568
80,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,66.381
81,social,Sentence-level,"['Style Register', 'Reference Consistency', 'Relational Address']",,14.77
82,social,Sentence-level,"['Idea Development', 'Style Register', 'Relational Address']",,24.927
83,social,Sentence-level,"['Idea Development', 'Modality and Attitude', 'Relational Address']",,42.65
84,social,Local,"['Information Density', 'Terminology Control', 'Style Register']",,38.775
85,social,Local,"['Style Register', 'Reference Consistency', 'Relational Address']","[{""start"":0,""end"":7,""text"":""Celeste"",""labels"":[""need context""]}]",27.581
86,social,Local,"['Style Register', 'Reference Consistency', 'Relational Address']","[{""start"":0,""end"":2,""text"":""It"",""labels"":[""need context""]}]",15.419
87,social,Sentence-level,"['Style Register', 'Logical Connectivity', 'Relational Address']",,32.76
88,social,Local,"['Style Register', 'Reference Consistency', 'Relational Address']","[{""start"":89,""end"":97,""text"":""this way"",""labels"":[""need context""]},{""start"":64,""end"":78,""text"":""the connection"",""labels"":[""need context""]}]",180.741
89,social,Local,"['Style Register', 'Reference Consistency', 'Relational Address']","[{""start"":8,""end"":33,""text"":""another mid-scale version"",""labels"":[""need context""]},{""start"":64,""end"":71,""text"":""the two"",""labels"":[""need context""]}]",39.747
90,social,Local,"['Style Register', 'Reference Consistency', 'Relational Address']","[{""start"":8,""end"":12,""text"":""that"",""labels"":[""need context""]}]",54.002
91,social,Sentence-level,"['Style Register', 'Reference Consistency', 'Relational Address']","[{""start"":0,""end"":8,""text"":""which is"",""labels"":[""need context""]}]",20.615
92,social,Sentence-level,"['Terminology Control', 'Style Register', 'Relational Address']",,16.493
93,social,Sentence-level,"['Idea Development', 'Style Register', 'Relational Address']",,20.969
94,social,Sentence-level,"['Style Register', 'Logical Connectivity', 'Relational Address']",,13.07
95,social,Sentence-level,"['Style Register', 'Logical Connectivity', 'Relational Address']",,15.669
96,social,Sentence-level,"['Style Register', 'Logical Connectivity', 'Relational Address']",,24.576
97,social,Sentence-level,"['Style Register', 'Logical Connectivity', 'Relational Address']",,18.519
98,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,13.528
99,social,Local,"['Terminology Control', 'Style Register', 'Relational Address']","[{""start"":37,""end"":41,""text"":""SLAs"",""labels"":[""need context""]}]",23.686
100,social,Local,"['Terminology Control', 'Style Register', 'Reference Consistency']","[{""start"":38,""end"":42,""text"":""5 9s"",""labels"":[""need context""]}]",33.944
101,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,11.08
102,social,Sentence-level,"['Style Register', 'Reference Consistency', 'Relational Address']",,9.78
103,social,Sentence-level,"['Style Register', 'Reference Consistency', 'Relational Address']",,31.267
104,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,31.816
105,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,6.614
106,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,21.637
107,social,Sentence-level,"['Style Register', 'Reference Consistency', 'Modality and Attitude']",,45.161
108,social,Local,"['Idea Development', 'Style Register', 'Reference Consistency']","[{""start"":28,""end"":31,""text"":""her"",""labels"":[""need context""]}]",39.022
109,social,Sentence-level,"['Information Density', 'Style Register', 'Reference Consistency']","[{""start"":9,""end"":25,""text"":""the odd cheater "",""labels"":[""need context""]}]",80.23
110,social,Sentence-level,"['Style Register', 'Logical Connectivity', 'Relational Address']",,16.983
111,social,Sentence-level,"['Style Register', 'Reference Consistency', 'Relational Address']",,13.498
112,social,Local,"['Terminology Control', 'Style Register', 'Reference Consistency']","[{""start"":39,""end"":49,""text"":""Extraction"",""labels"":[""need context""]}]",18.487
113,social,Local,"['Style Register', 'Reference Consistency', 'Relational Address']","[{""start"":35,""end"":54,""text"":""play so hard to get"",""labels"":[""need context""]}]",42.694
114,social,Local,"['Idea Development', 'Style Register', 'Relational Address']",,27.867
115,social,Sentence-level,"['Terminology Control', 'Style Register', 'Relational Address']",,39.728
116,social,Local,"['Style Register', 'Reference Consistency', 'Relational Address']","[{""start"":0,""end"":2,""text"":""It"",""labels"":[""need context""]},{""start"":42,""end"":46,""text"":""they"",""labels"":[""need context""]},{""start"":70,""end"":74,""text"":""they"",""labels"":[""need context""]}]",72.681
117,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,23.661
118,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,17.701
119,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,13.124
120,social,Local,"['Terminology Control', 'Style Register', 'Relational Address']","[{""start"":0,""end"":11,""text"":""Snarky Wife"",""labels"":[""need context""]}]",17.722
121,social,Universal,"['Terminology Control', 'Logical Connectivity', 'Modality and Attitude']","[{""start"":46,""end"":67,""text"":""The Elders of Ireland"",""labels"":[""need context""]}]",26.231
122,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,37.099
123,social,Local,"['Terminology Control', 'Style Register', 'Relational Address']","[{""start"":17,""end"":34,""text"":""Sourdough Starter"",""labels"":[""need context""]}]",23.706
124,social,Local,"['Idea Development', 'Style Register', 'Relational Address']",,16.99
125,social,Local,"['Style Register', 'Reference Consistency', 'Logical Connectivity']","[{""start"":7,""end"":9,""text"":""it"",""labels"":[""need context""]}]",25.142
126,social,Local,"['Reference Consistency', 'Modality and Attitude', 'Relational Address']",,71.126
127,social,Local,"['Style Register', 'Reference Consistency', 'Relational Address']","[{""start"":8,""end"":12,""text"":""that"",""labels"":[""need context""]}]",41.964
128,social,Sentence-level,"['Style Register', 'Relational Address', 'Modality and Attitude']",,42.135
129,social,Universal,"['Terminology Control', 'Style Register', 'Relational Address']","[{""start"":4,""end"":23,""text"":""empty nest syndrome"",""labels"":[""need context""]}]",50.205
130,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,14.46
131,social,Local,"['Style Register', 'Reference Consistency', 'Relational Address']","[{""start"":37,""end"":41,""text"":""that"",""labels"":[""need context""]}]",12.171
132,social,Sentence-level,"['Style Register', 'Relational Address', 'Modality and Attitude']",,23.557
133,social,Local,"['Style Register', 'Reference Consistency', 'Relational Address']","[{""start"":48,""end"":59,""text"":""masto-peeps"",""labels"":[""need context""]}]",23.88
134,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,10.805
135,social,Local,"['Style Register', 'Reference Consistency', 'Relational Address']","[{""start"":18,""end"":22,""text"":""that"",""labels"":[""need context""]},{""start"":49,""end"":58,""text"":""otherwise"",""labels"":[""need context""]}]",259.336
136,social,Sentence-level,"['Style Register', 'Participant Focus', 'Relational Address']",,23.228
137,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,21.078
138,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,9.0
139,social,Sentence-level,"['Style Register', 'Reference Consistency', 'Relational Address']",,26.457
140,social,Sentence-level,"['Idea Development', 'Style Register', 'Relational Address']",,7.631
141,social,Local,"['Style Register', 'Reference Consistency', 'Relational Address']","[{""start"":15,""end"":17,""text"":""we"",""labels"":[""need context""]}]",99.448
142,social,Local,"['Style Register', 'Reference Consistency', 'Relational Address']","[{""start"":20,""end"":32,""text"":""the creative"",""labels"":[""need context""]}]",23.523
143,social,Sentence-level,"['Idea Development', 'Style Register', 'Relational Address']",,20.946
144,social,Sentence-level,"['Idea Development', 'Style Register', 'Relational Address']",,10.759
145,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,26.558
146,social,Sentence-level,"['Style Register', 'Reference Consistency', 'Relational Address']",,60.154
147,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,11.397
148,social,Local,"['Style Register', 'Participant Focus', 'Relational Address']",,38.198
149,social,Sentence-level,"['Idea Development', 'Style Register', 'Relational Address']",,23.438
150,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,12.969
151,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,14.746
152,social,Sentence-level,"['Style Register', 'Logical Connectivity', 'Relational Address']",,21.172
153,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,11.4
154,social,Sentence-level,"['Style Register', 'Logical Connectivity', 'Relational Address']",,29.726
155,social,Sentence-level,"['Style Register', 'Reference Consistency', 'Relational Address']",,15.066
156,social,Sentence-level,"['Style Register', 'Reference Consistency', 'Relational Address']",,16.324
157,social,Sentence-level,"['Terminology Control', 'Style Register', 'Relational Address']",,11.355
158,social,Local,"['Style Register', 'Reference Consistency', 'Relational Address']","[{""start"":14,""end"":18,""text"":""this"",""labels"":[""need context""]}]",14.275
159,social,Local,"['Style Register', 'Reference Consistency', 'Relational Address']","[{""start"":52,""end"":56,""text"":""that"",""labels"":[""need context""]}]",23.472
160,social,Local,"['Terminology Control', 'Style Register', 'Reference Consistency']","[{""start"":39,""end"":51,""text"":""HS trig lmao"",""labels"":[""need context""]}]",19.671
161,social,Local,"['Terminology Control', 'Style Register', 'Relational Address']","[{""start"":21,""end"":24,""text"":""DMS"",""labels"":[""need context""]}]",26.9
162,social,Local,"['Reference Consistency', 'Relational Address', 'Reference Consistency']","[{""start"":14,""end"":18,""text"":""this"",""labels"":[""need context""]}]",15.98
163,social,Sentence-level,"['Idea Development', 'Style Register', 'Relational Address']",,14.482
164,social,Sentence-level,"['Modality and Attitude', 'Relational Address', 'Idea Development']",,19.924
165,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,6.05
166,social,Local,"['Style Register', 'Reference Consistency', 'Relational Address']","[{""start"":4,""end"":6,""text"":""it"",""labels"":[""need context""]}]",13.864
167,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,10.356
168,social,Local,"['Style Register', 'Reference Consistency', 'Relational Address']","[{""start"":30,""end"":34,""text"":""that"",""labels"":[""need context""]}]",8.324
169,social,Universal,"['Terminology Control', 'Style Register', 'Relational Address']","[{""start"":10,""end"":21,""text"":""flightaware"",""labels"":[""need context""]}]",15.039
170,social,Local,"['Style Register', 'Reference Consistency', 'Relational Address']","[{""start"":25,""end"":30,""text"":""there"",""labels"":[""need context""]}]",10.671
171,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,11.389
172,social,Local,"['Style Register', 'Reference Consistency', 'Relational Address']","[{""start"":21,""end"":25,""text"":""this"",""labels"":[""need context""]}]",22.479
173,social,Local,"['Terminology Control', 'Modality and Attitude', 'Relational Address']","[{""start"":86,""end"":89,""text"":""FAA"",""labels"":[""need context""]}]",30.3
174,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,11.885
175,social,Local,"['Reference Consistency', 'Participant Focus', 'Modality and Attitude']","[{""start"":65,""end"":67,""text"":""it"",""labels"":[""need context""]},{""start"":20,""end"":23,""text"":"" it"",""labels"":[""need context""]}]",89.362
176,social,Sentence-level,"['Style Register', 'Reference Consistency', 'Modality and Attitude']",,38.395
177,social,Sentence-level,"['Terminology Control', 'Style Register', 'Relational Address']",,19.98
178,social,Universal,"['Terminology Control', 'Style Register', 'Reference Consistency']","[{""start"":0,""end"":3,""text"":""FAA"",""labels"":[""need context""]}]",16.833
179,social,Local,"['Style Register', 'Reference Consistency', 'Relational Address']","[{""start"":69,""end"":71,""text"":""it"",""labels"":[""need context""]}]",18.658
180,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,21.326
181,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,7.691
182,social,Local,"['Style Register', 'Modality and Attitude', 'Relational Address']",,9.32
183,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,6.579
184,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,10.711
185,social,Extended,"['Terminology Control', 'Style Register', 'Relational Address']","[{""start"":11,""end"":27,""text"":""General Aviation"",""labels"":[""need context""]}]",10.831
186,social,Sentence-level,"['Idea Development', 'Style Register', 'Relational Address']",,25.021
187,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,8.182
188,social,Sentence-level,"['Style Register', 'Logical Connectivity', 'Relational Address']",,15.486
189,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,18.119
190,social,Sentence-level,"['Style Register', 'Reference Consistency', 'Relational Address']",,7.049
191,social,Local,"['Style Register', 'Reference Consistency', 'Relational Address']","[{""start"":0,""end"":3,""text"":""Its"",""labels"":[""need context""]}]",20.61
192,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,25.658
193,social,Sentence-level,"['Idea Development', 'Style Register', 'Relational Address']",,27.183
194,social,Sentence-level,"['Idea Development', 'Style Register', 'Relational Address']",,20.122
195,social,Extended,"['Terminology Control', 'Style Register', 'Relational Address']","[{""start"":18,""end"":38,""text"":""Mount of instability"",""labels"":[""need context""]}]",34.24
196,social,Sentence-level,"['Style Register', 'Logical Connectivity', 'Relational Address']",,23.83
197,social,Local,"['Style Register', 'Reference Consistency', 'Relational Address']",,33.766
198,social,Sentence-level,"['Style Register', 'Reference Consistency', 'Relational Address']",,6.036
199,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,11.215
200,social,Sentence-level,"['Style Register', 'Logical Connectivity', 'Relational Address']",,47.132
201,social,Sentence-level,"['Terminology Control', 'Style Register', 'Relational Address']",,28.679
202,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,10.955
203,social,Sentence-level,"['Style Register', 'Reference Consistency', 'Relational Address']",,13.789
204,social,Local,"['Style Register', 'Reference Consistency', 'Relational Address']",,21.079
205,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,4.6
206,social,Local,"['Idea Development', 'Style Register', 'Reference Consistency']","[{""start"":27,""end"":29,""text"":""we"",""labels"":[""need context""]}]",29.156
207,social,Sentence-level,"['Style Register', 'Logical Connectivity', 'Relational Address']",,10.842
208,social,Local,"['Style Register', 'Reference Consistency', 'Relational Address']","[{""start"":3,""end"":6,""text"":""did"",""labels"":[""need context""]}]",24.178
209,social,Sentence-level,"['Style Register', 'Reference Consistency', 'Relational Address']",,63.886
210,social,Sentence-level,"['Style Register', 'Logical Connectivity', 'Relational Address']",,9.035
211,social,Local,"['Terminology Control', 'Style Register', 'Reference Consistency']","[{""start"":0,""end"":11,""text"":""FlightAware"",""labels"":[""need context""]}]",16.739
212,social,Local,"['Style Register', 'Reference Consistency', 'Relational Address']","[{""start"":0,""end"":10,""text"":""This stuff"",""labels"":[""need context""]}]",18.823
213,social,Sentence-level,"['Style Register', 'Logical Connectivity', 'Relational Address']",,9.562
214,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,17.179
215,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,10.046
216,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,8.697
217,social,Local,"['Style Register', 'Reference Consistency', 'Relational Address']","[{""start"":28,""end"":31,""text"":""one"",""labels"":[""need context""]}]",24.092
218,social,Sentence-level,"['Terminology Control', 'Style Register', 'Relational Address']",,24.047
219,social,Sentence-level,"['Style Register', 'Reference Consistency', 'Relational Address']",,26.034
220,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,11.278
221,social,Sentence-level,"['Style Register', 'Reference Consistency', 'Relational Address']",,11.392
222,social,Sentence-level,"['Style Register', 'Reference Consistency', 'Relational Address']",,13.115
223,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,35.808
224,social,Sentence-level,"['Style Register', 'Modality and Attitude', 'Relational Address']",,31.539
225,social,Sentence-level,"['Style Register', 'Logical Connectivity', 'Relational Address']",,18.626
226,social,Local,"['Terminology Control', 'Style Register', 'Relational Address']","[{""start"":42,""end"":62,""text"":""Cross Country Flight"",""labels"":[""need context""]}]",26.926
227,social,Extended,"['Terminology Control', 'Style Register', 'Relational Address']","[{""start"":13,""end"":21,""text"":""Mason Mi"",""labels"":[""need context""]},{""start"":25,""end"":35,""text"":""Sturgis Mi"",""labels"":[""need context""]}]",23.276
228,social,Extended,"['Terminology Control', 'Style Register', 'Relational Address']","[{""start"":7,""end"":11,""text"":""Cont"",""labels"":[""need context""]}]",76.231
229,social,Sentence-level,"['Style Register', 'Reference Consistency', 'Relational Address']","[{""start"":0,""end"":4,""text"":""This"",""labels"":[""need context""]}]",12.654
