idx,domain,doc,source,reference,target
16,news,test-en-news_scotsman.87458,"What we find now from the latest Scottish Government statistics is that, in the last year alone, average rents have increased in all sized properties, ranging from the lowest rise of 11.7 per cent for one-bedroom to the highest figure of 14.3 per cent for two-bedroom homes.","스코틀랜드 정부의 최신 통계로 본 지금의 현실은 이렇다. 지난 한 해 동안 모든 규모의 주택에서 평균 임대료가 상승했다. 침실 1개 주택이 11.7% 상승하여 가장 적게 올랐고, 침실 2개 주택은 14.3% 상승하여 가장 많이 올랐다.","러나 최근 스코틀랜드 정부 통계에 따르면 지난 1년 동안 모든 규모의 주택에서 평균 임대료가 상승했으며, 원룸의 경우 최저 11.7%에서 투룸의 경우 최고 14.3%까지 상승한 것으로 나타났습니다."
17,news,test-en-news_scotsman.87458,"Every type of property (from one to four bedroom to a room in a property) has had a double digit increase in rents since the Cost of Living legislation was introduced in October 2022, exceeding the annual average increases in rents over the previous 12 years by a factor of at least three.",2022년 10월에 생계비 법이 도입된 이후 (침실 1~4개 주택부터 방 1개를 임대하는 유형까지) 모든 주택 유형에서 임대료가 두 자릿수 상승을 기록하면서 그 이전 12년간의 연평균 임대료 상승률을 3배 이상 넘어섰다.,"2022년 10월 생활비 관련 법안이 도입된 이후 원룸부터 4룸, 그리고 셰어하우스까지 모든 유형의 주택 임대료가 두 자릿수 상승률을 기록했으며, 이는 지난 12년간의 연평균 임대료 상승률의 최소 3배에 달하는 수치입니다."
18,news,test-en-news_scotsman.87458,"There were plenty of warnings from all involved in the housing sector that this would happen, but these went unheeded.","이렇게 되리라는 경고의 목소리가 주택 업계의 곳곳에서 수없이 나왔지만, 무시되었다.","주택 부문 관계자들은 모두 이러한 사태가 발생할 것이라고 수차례 경고했지만, 그 경고는 무시되었습니다."
19,news,test-en-news_scotsman.87458,"An unwillingness to believe that market forces are what dictates prices rather than government has led to enormous rent price rises which could have been avoided with greater understanding, negotiation and discussion with the sector and a plan that understood the principles of supply and demand.","정부보다는 시장의 힘이 가격을 좌우한다는 사실을 인정하고 싶지 않은 태도로 인해 임대료가 폭등했다. 이 분야에 대한 더 깊이 있는 식견과 협상 및 대화 노력, 그리고 공급과 수요의 원칙에 입각한 계획이 있었다면 피할 수 있는 결과였다.","정부가 아닌 시장 원리가 가격을 결정한다는 사실을 인정하지 않으려는 태도는 막대한 임대료 상승으로 이어졌습니다. 이는 업계와의 더 많은 이해, 협상, 논의, 그리고 수요와 공급의 원칙을 이해하는 계획을 통해 충분히 피할 수 있었던 결과입니다."
20,news,test-en-news_scotsman.87458,"With the Cost of Living Act legislation ending on 31 March 2024, a new consultation document seeks to extend controls on the level of rent increases that can be levied in the coming year.","생계비 법 시행이 2024년 3월 31일 자로 종료될 예정인데, 새로운 협의 문서는 다가오는 해의 임대료 인상 수준을 계속 통제하는 것을 목적으로 한다.","2024년 3월 31일 생활비법(Cost of Living Act)의 효력이 만료됨에 따라, 향후 임대료 인상폭 제한 조치 연장을 위한 새로운 자문 문서가 발표되었습니다."
21,news,test-en-news_scotsman.87458,"The consultation ends this Monday and proposes rents be set by the lowest of three comparators: open market rent; a landlord's proposed new rent; and a ""reasonable"" increase devised from a new taper system using comparison with a percentage of market rent.","이번 월요일에 마무리되는 이 협의는 3가지 기준, 공개 시장 임대료, 임대인이 제안하는 신규 임대료, 그리고 시장 임대료 대비 비율과 비교하는 방식의 새로운 테이퍼 시스템에서 계산되는 ""합리적인"" 인상액 중에서 가장 낮은 금액으로 임대료를 결정하도록 제안한다.","이번 자문은 이번 주 월요일에 마감되며, 세 가지 비교 기준 중 가장 낮은 금액으로 임대료를 설정하는 방안을 제시하고 있습니다. 세 가지 기준은 공개 시장 임대료, 임대인이 제시하는 신규 임대료, 그리고 시장 임대료의 일정 비율을 사용하는 새로운 테이퍼 시스템을 통해 산출되는 ""합리적인"" 인상폭입니다."
22,news,test-en-news_scotsman.87458,Scottish tenants are likely to face further alarming rent increases if experts are not heeded (Picture: Adobe),"전문가의 조언이 외면받는다면, 스코틀랜드의 임차인들은 더 무시무시한 임대료 인상을 경험할 가능성이 높다(사진 제공: Adobe).","전문가들의 의견이 무시될 경우, 스코틀랜드 세입자들은 추가적인 우려스러운 임대료 인상에 직면할 가능성이 높습니다. (사진: Adobe)"
23,news,test-en-news_scotsman.87458,"This tapering proposal would set rent increases between 6 per cent and a maximum of 15 per cent which, ironically, would be higher than historic annual price rises.","이 테이퍼링 제안 방식은 6% 이상, 최대 15%의 범위에서 임대료 인상폭을 정할 것 같은데, 아이러니하게도 이는 예전의 연간 가격 상승률보다 높다.","이러한 점진적 인상안은 임대료 인상률을 6%에서 최대 15%로 제한하는 것인데, 아이러니하게도 이는 과거 연간 임대료 상승률보다 높습니다."
24,news,test-en-news_scotsman.87458,"But, more importantly, this scheme would be unwieldy, overly complex and prohibitively expensive to monitor and implement.","하지만 더 중요한 점은, 이 제도가 까다롭고 지나치게 복잡할 뿐만 아니라 막대한 비용 부담 때문에 모니터링하고 시행하기 어렵다는 것이다.","하지만 더 중요한 것은 이 제도가 다루기 힘들고, 지나치게 복잡하며, 감독 및 시행 비용이 엄청나게 많이 든다는 점입니다."
25,news,test-en-news_scotsman.87458,We already have a system involving the first-tier housing tribunal which rules on whether a rent increase is fair.,우리에게는 이미 임대료 인상이 공정한지를 판단하는 1차 주택 재판소 시스템이 있다.,우리에게는 이미 임대료 인상의 적정성 여부를 판단하는 1심 주택심판소 제도가 있습니다.
26,news,test-en-news_scotsman.87458,This seems like adding further layers of bureaucracy with no gain for landlords or tenants.,따라서 임대인이나 임차인에게 어떠한 이득도 없이 관료주의만 더욱 공고히 할 것으로 보인다.,이는 집주인이나 세입자에게 아무런 이득도 없이 불필요한 관료주의적 절차만 추가하는 것으로 보입니다.
27,news,test-en-news_scotsman.87458,"Unfortunately, this consultation paper seems like a further attempt to impose controls on the sector.","안타깝게도, 이 협의 문서는 주택 분야에 대한 통제를 강화하려는 또 다른 시도로 읽힌다.","유감스럽게도, 이번 자문 보고서는 해당 부문에 대한 통제를 강화하려는 또 다른 시도로 보입니다."
28,news,test-en-news_scotsman.87458,"A far simpler solution would be to let the market return to normal, not impose external controls on rent levels, and the result will be lower rent increases than we have seen in the last 18 months.",훨씬 더 간단한 해법은 임대료 수준을 외적으로 통제하기보다는 시장이 스스로 정상화하도록 두는 것이다. 그러면 임대료 상승폭은 우리가 지난 18개월간 경험한 것보다 줄어들 것이다.,훨씬 더 간단한 해결책은 시장이 정상으로 돌아가도록 놔두고 임대료 수준에 대한 외부 통제를 가하지 않는 것입니다. 그 결과 지난 18개월 동안 보아왔던 것보다 임대료 상승률이 낮아질 것입니다.
29,news,test-en-news_scotsman.87458,To stabilise rental prices in the long term then the government must encourage greater investment and growth in the private rented sector (PRS) while simultaneously funding a substantial growth in the supply of social housing.,"그리고 정부는 장기적으로 임대료를 안정화하기 위한 조치로, 민간 임대 시장(PRS)에 대한 투자 확대를 장려하여 성장을 촉진하는 한편 사회적 주택 공급을 유의미하게 늘릴 수 있도록 재정 지원을 해야 한다.",장기적으로 임대료를 안정시키려면 정부는 민간 임대 부문(PRS)에 대한 투자와 성장을 장려하는 동시에 사회 주택 공급의 실질적인 증가를 위한 자금을 지원해야 합니다.
30,news,test-en-news_scotsman.87458,The greater the investment in the PRS the more stability will be created in the housing market.,PRS 투자가 늘어날수록 주택 시장은 더욱 안정화할 것이다.,PRS에 대한 투자가 많을수록 주택 시장의 안정성은 더욱 높아질 것입니다.
31,news,test-en-news_scotsman.87458,Increasing volumes in both the PRS and social housing markets will stabilise rents over time as demand meets supply and equilibrium is achieved.,"PRS 및 사회적 주택 시장 양쪽에서 물량을 확대하면, 점차 수요와 공급이 일치하는 균형 상태에 도달하여 임대료가 안정화된다.",PRS와 사회 주택 시장 모두에서 공급량이 증가하면 수요와 공급이 일치하고 균형에 도달함에 따라 시간이 지남에 따라 임대료가 안정될 것입니다.
32,news,test-en-news_scotsman.87458,Only by adopting these measures will we start to address the current housing crisis.,이러한 조치를 통해서만 현재의 주택 위기를 극복해 나갈 수 있다.,이러한 조치를 채택해야만 현재의 주택 위기를 해결하기 시작할 수 있습니다.
33,news,test-en-news_scotsman.87458,Anything else is simply not going to work.,그 밖의 어떤 방법도 통하지 않을 것이다.,다른 어떤 방법으로도 효과를 보기 어려울 것입니다.
34,news,test-en-news_scotsman.87519,Rishi Sunak's law to strike down wrongful convictions may have serious unintended consequences - Scotsman comment,잘못된 유죄 판결을 파기하는 리시 수낙의 법이 뜻하지 않은 심각한 결과를 초래할 수도 있다 - 스코츠맨 논평,"리시 수낙의 오심 무효화 법안, 심각한 의도치 않은 결과 초래할 수도 - 스코츠맨 논평"
35,news,test-en-news_scotsman.87519,"Politicians who think they can overturn judges"" decisions are effectively putting themselves above the law",사법부 판단을 뒤집을 수 있다고 생각하는 정치인은 사실상 법 위에 군림하는 것,판사의 결정을 뒤집을 수 있다고 생각하는 정치인들은 사실상 스스로 법 위에 군림하려는 것이다.
36,news,test-en-news_scotsman.87519,"As has been pointed out for years by, among others, The Scotsman, the wrongful conviction of hundreds of Post Office branch managers in the Horizon scandal is one of the most serious miscarriages of justice in history.","스코츠맨이 몇 년 전부터 지적해 온 대로, 호라이즌(Horizon) 스캔들에서 수백 명의 우편취급소장이 잘못된 유죄 판결을 받은 것은 역사상 가장 심각한 사업부의 오심으로 꼽힐 만하다.","스코츠맨을 비롯한 여러 언론에서 수년간 지적해 온 바와 같이, 호라이즌 스캔들로 인해 수백 명의 우체국 지점장들이 부당하게 유죄 판결을 받은 사건은 역사상 가장 심각한 오심 사례 중 하나입니다."
37,news,test-en-news_scotsman.87519,"People were sent to prison, lost homes, marriages and reputations, and endured the mental torment of an honest person treated as a criminal.","피해자들은 감옥에 갇히고 집, 결혼 생활, 명예를 잃고 정직한 사람이 범죄자 취급을 받는 정신적 고통을 겪어야 했다.","사람들은 감옥에 가고, 집과 결혼 생활, 명예를 잃었으며, 정직한 사람이 범죄자로 취급받는 정신적 고통을 겪었습니다."
38,news,test-en-news_scotsman.87519,"While the root cause of their problems was the flawed Horizon computer system, Post Office minister Kevin Hollinrake told MPs yesterday that the evidence showed ""not only incompetence but malevolence"" by the Post Office.","이들이 당한 문제의 근본 원인은 호라이즌(Horizon) 컴퓨터 시스템의 결함이었지만, 케빈 홀린레이크 체신부 장관은 어제 의회에 출석하여 우체국이 '무능할 뿐만 아니라 악의적이었음'이 증거로 입증된다고 발언했다.","호라이즌 전산 시스템의 결함이 문제의 근본 원인이었지만, 케빈 홀린레이크 우정국 장관은 어제 국회의원들에게 우체국의 ""무능함뿐 아니라 악의""까지 드러났다고 말했습니다."
39,news,test-en-news_scotsman.87519,He lamented that just 95 out of more than 900 convictions had been overturned.,그는 900건이 넘는 유죄 판결 중 불과 95건만 번복되었다고 말하며 탄식했다.,그는 900건이 넘는 유죄 판결 중 95건만이 뒤집힌 것을 안타까워했습니다.
40,news,test-en-news_scotsman.87519,"Now, a new law is to be introduced in England and Wales to exonerate the scandal's victims, with Downing Street saying it will work with the Scottish Government on similar steps.",이제 영국와 웨일즈에서 이 스캔들의 피해자들이 무죄임을 공식화할 새로운 법이 제정될 예정이다. 총리실은 스코틀랜드 정부와 협력하여 비슷한 조치를 하겠다고 밝혔다.,"현재, 이 스캔들의 피해자들을 면책하기 위한 새로운 법안이 잉글랜드와 웨일스에 도입될 예정이며, 다우닝가는 스코틀랜드 정부와 유사한 조치를 위해 협력할 것이라고 밝혔습니다."
41,news,test-en-news_scotsman.87519,It is extraordinary what can be achieved by a poignant television drama - ITV's Mr Bates Vs The Post Office - in an election year.,"선거의 해에 가슴 아픈 내용의 TV 드라마, ITV의 '베이트 씨 대 우체국(Mr Bates Vs The Post Office)'은 놀라운 일을 해내고 있다.","선거철에 감동적인 TV 드라마, ITV의 '미스터 베이츠 대 우체국'이 가져올 수 있는 파급력은 놀랍습니다."
42,news,test-en-news_scotsman.87519,"After years of inaction, politicians are suddenly falling over themselves to do something.",수년 간 수수방관하던 정치인들이 갑자기 뭔가를 하겠다고 발 벗고 나서는 중이다.,수년간의 무대책 끝에 정치인들이 갑자기 앞다투어 뭔가를 하려고 나서고 있습니다.
43,news,test-en-news_scotsman.87519,"However, there are problems with Rishi Sunak's approach.",그러나 리시 수낙의 접근 방식에는 여러 가지 문제가 있다.,그러나 리시 수낵의 접근 방식에는 문제가 있습니다.
44,news,test-en-news_scotsman.87519,"The first is that a blanket law clearing hundreds of people may inadvertently include some who were guilty but, given the pressing need to clear the innocent, this may be a price worth paying.","첫 번째로, 수백 명에 대한 유죄 선고를 무효화하는 포괄적인 법의 적용 대상에 유죄인 사람이 실수로 포함될 우려가 있다. 그러나 이는 무고한 이들의 혐의를 벗겨야 하는 시급한 필요성 때문에 감수해야 하는 문제일 수도 있다.","첫째는 수백 명을 면책하는 포괄적인 법률이 의도치 않게 유죄인 사람들을 포함할 수 있지만, 무고한 사람들의 석방이 시급하기 때문에 감수할 만한 대가일 수 있다는 것입니다."
45,news,test-en-news_scotsman.87519,The second is more serious.,두 번째는 더 심각하다.,둘째는 더 심각합니다.
46,news,test-en-news_scotsman.87519,A law overturning court verdicts may set a dangerous precedent at a time when populists are testing the boundaries of political power.,포퓰리즘 때문에 정치 권력의 경계가 시험대에 오른 시점에 사법부의 판단을 뒤집는 법이 제정되면 위험한 선례가 될 수 있다.,법원 판결을 뒤집는 법은 포퓰리스트들이 정치 권력의 한계를 시험하는 시기에 위험한 선례를 남길 수 있습니다.
47,news,test-en-news_scotsman.87519,"In the US, Donald Trump is attempting to claim that, as president, he had immunity from prosecution.",미국에서는 도널드 트럼프가 자신이 대통령으로서 기소를 면제받았다는 주장을 펼치려 한다.,미국에서는 도널드 트럼프가 대통령 재임 시절 기소 면책 특권이 있었다고 주장하고 있습니다.
48,news,test-en-news_scotsman.87519,"In the UK, Boris Johnson illegally suspended parliament to facilitate his Brexit plans, while Sunak wants to overturn a Supreme Court decision that Rwanda is not a safe country by passing a law to say that it is.",영국에서는 보리스 존슨이 자신의 브렉시트 계획을 관철시키기 위해 불법적으로 의회 회기를 중단했다. 한편 수낙은 르완다가 안전한 국가가 아니라는 대법원의 판결을 그 반대 내용의 법을 통과시켜 뒤집고 싶어 한다.,"영국에서는 보리스 존슨이 브렉시트 계획을 추진하기 위해 불법적으로 의회를 정회시켰고, 수낙 총리는 르완다가 안전한 국가가 아니라는 대법원 판결을 뒤집기 위해 르완다가 안전하다고 명시하는 법안을 통과시키려 하고 있습니다."
49,news,test-en-news_scotsman.87519,"The concept of the separation of powers - the government, parliament and the judiciary - is a vital safeguard against tyranny.","정부, 입법부, 사법부 간 권력 분립의 개념은 폭정을 막는 중요한 안전 장치다.","권력 분립 - 행정부, 입법부, 사법부의 분리 - 은 독재에 대한 필수적인 안전장치입니다."
50,news,test-en-news_scotsman.87519,"Politicians who think they can strike down judges"" decisions are effectively putting themselves above the law.",자신이 사법부의 판단을 뒤집을 수 있다고 생각하는 정치인들은 사실상 법 위에 군림하는 것이다.,판사의 결정을 무효화할 수 있다고 생각하는 정치인들은 사실상 스스로 법 위에 군림하려는 것입니다.
51,news,test-en-news_scotsman.87519,Voters must make clear this is not a position they will tolerate in anything other than the most extreme circumstances.,유권자들은 가장 극단적인 상황이 아닌 이상 그런 태도를 용납하지 않을 것임을 분명히 해야 한다.,유권자들은 이러한 행위가 극히 예외적인 상황을 제외하고는 용납될 수 없다는 것을 분명히 해야 합니다.
52,news,test-en-news_seattle_times.799809,Bring back oversight for WA's jails. Lives depend on it,감독이 시급한 워싱턴주 교도소 - 생명이 달려 있다,워싱턴 주 교도소에 대한 감독을 복원해야 합니다. 생명이 달려 있습니다.
53,news,test-en-news_seattle_times.799809,The Washington jail system is experiencing a fatality crisis.,워싱턴주 교도소 시스템이 죽음의 위기를 겪고 있다.,워싱턴주의 교정 시설은 사망 사건 위기에 직면해 있습니다.
54,news,test-en-news_seattle_times.799809,This is one of the uncomfortable but unavoidable truths we confronted as co-chairs of a legislative task force charged with studying our state's jail system and recommending changes to help make jails safer.,"이 문제는 이 주의 교도소 시스템을 연구하고 더 안전한 교정 시설을 만들기 위한 변화를 권고하는 입법 태스크 포스의 공동 의장단으로서 우리가 맞이한, 불편하지만 외면할 수 없는 진실이다.",이는 저희가 주 교정 시설을 조사하고 안전 개선을 위한 변화를 권고하는 입법 특별 전담반의 공동 의장으로서 마주한 불편하지만 피할 수 없는 진실 중 하나입니다.
55,news,test-en-news_seattle_times.799809,"Although we come from a variety of backgrounds, including jail administration, civil rights advocacy, and experience being incarcerated in jail, we all agree that there must be independent oversight of Washington's jails.","이 태스크 포스 팀은 교도소 운영, 민권 운동, 수감 경험 등 다양한 배경을 가진 이들로 이루어졌음에도 워싱턴 교도소에 대한 독립적인 감독이 필요하다는 데 모두 동의한다.","교정 행정, 시민권 옹호, 그리고 수감 경험 등 다양한 배경을 가진 저희지만, 워싱턴주 교정 시설에 대한 독립적인 감시가 반드시 필요하다는 데 의견을 같이합니다."
56,news,test-en-news_seattle_times.799809,"More than 130,000 people were booked into a Washington jail in 2022, and yet there is startlingly little information about what occurs once they get there.","2022년에 13만 명 이상이 워싱턴주 교도소에 수감될 예정이지만, 수감 이후 전개될 상황에 관한 정보는 놀랍게도 거의 없다.","2022년 워싱턴 구치소에 13만 명이 넘는 사람들이 수감되었지만, 그들이 그곳에 들어간 후 무슨 일이 일어나는지에 대한 정보는 놀라울 정도로 부족합니다."
57,news,test-en-news_seattle_times.799809,Washington has no statewide office responsible for monitoring jails and reporting data to the public.,워싱턴주 전체를 총괄하여 교도소를 감시하고 데이터를 일반에 공개할 책임을 가진 기관이 없다.,워싱턴에는 구치소를 감독하고 대중에게 데이터를 보고하는 주 차원의 기관이 없습니다.
58,news,test-en-news_seattle_times.799809,Some of the only information available relates to deaths in custody.,구금 중 사망에 관한 정보 정도만 제공될 뿐이다.,이용 가능한 정보 중 일부는 구금 중 사망과 관련된 것뿐입니다.
59,news,test-en-news_seattle_times.799809,What we found demonstrates that immediate action is required.,우리가 파악한 현실은 즉각적인 조치의 필요성을 입증한다.,저희 조사 결과는 즉각적인 조치가 필요함을 보여줍니다.
60,news,test-en-news_seattle_times.799809,"Even accounting for Washington's population growth, the Washington jail death rate nearly tripled between 2000 and 2019 - an increase 16 times that of the national average.","워싱턴주의 인구 증가를 감안하더라도, 워싱턴 교도소의 사망률은 2000~2019년에 3배 가까이 증가했다. 전국 평균의 16배에 달한다.","워싱턴의 인구 증가를 감안하더라도, 워싱턴의 구치소 사망률은 2000년에서 2019년 사이에 거의 세 배로 증가했는데, 이는 전국 평균 증가율의 16배에 달하는 수치입니다."
61,news,test-en-news_seattle_times.799809,"Outpacing other states, Washington now has the fourth-highest rate of jail deaths in the nation.",웬만한 주를 능가하는 워싱턴은 전국에서 교도소 내 사망률이 4번째로 높은 주이다.,"다른 주들을 훨씬 앞지르면서, 워싱턴은 현재 전국에서 네 번째로 높은 구치소 사망률을 기록하고 있습니다."
62,news,test-en-news_seattle_times.799809,This cannot continue.,이렇게 두어서는 안 된다.,이러한 상황은 더 이상 지속될 수 없습니다.
63,news,test-en-news_seattle_times.799809,"Reversing the trend of jail deaths, and solving the many other issues facing our jails, may require some difficult policy decisions.",이러한 교도소 내 사망 추세를 반전시키고 그밖에 교도소의 산적한 과제를 해결하려면 어려운 정책 결정이 필요할 수도 있다.,수감 중 사망 증가 추세를 반전시키고 교도소가 직면한 여러 다른 문제를 해결하려면 어려운 정책 결정이 필요할 수 있습니다.
64,news,test-en-news_seattle_times.799809,"However, independent oversight of jails is a critical first step toward a safer and more humane jail system.",그러나 독립적인 교도소 감독 기능은 더 안전하고 인도적인 교도소 시스템으로 거듭나는 데 중요한 첫걸음이다.,그러나 교도소에 대한 독립적인 감시는 더 안전하고 인도적인 교정 시스템을 향한 중요한 첫걸음입니다.
65,news,test-en-news_seattle_times.799809,Independent oversight is a demonstrated means of improving transparency and accountability both in Washington and across the country.,독립적인 감독은 워싱턴은 물론 전국에서 투명성과 책임성을 강화하는 효과가 입증된 방법이다.,독립적인 감시는 워싱턴주뿐만 아니라 전국적으로 투명성과 책임성을 향상시키는 검증된 방법입니다.
